# horizontal tail contribution to moment based on CN data for a tail,  020828 p 4

-20
-180.000000     0.015374
-163.144876     0.100936
-161.554770     0.105615
-159.964664     0.103610
-157.420495     0.096257
-155.512367     0.092914
-153.604240     0.100267
-146.607774     0.129011
-137.703180     0.162433
-124.028269     0.187834
-104.946996     0.194519
-91.2270	0.1958
-71.3290	0.1930
-53.6880	0.1869
-41.5560	0.1809
-34.6780	0.1761
-30.1760	0.1735
-27.7980	0.1731
-25.5400	0.1767
-22.6690	0.1716
-16.5660	0.1514
-13.4540	0.1400
-10.4593	0.1338
-8.7036	0.1360
-6.7086	0.1308
-1.0004	0.0983
6.8001	0.0423
14.8480	-0.0155
21.5330	-0.0646
24.7580	-0.0840
28.2550	-0.0887
30.4020	-0.0764
34.2970	-0.0669
38.5470	-0.0710
43.6610	-0.0827
54.2660	-0.1051
69.4990	-0.1305
89.2410	-0.1534
100.494700      -0.155080
113.533569      -0.154412
128.480565      -0.145053
139.611307      -0.121658
150.424028      -0.080214
155.830389      -0.056150
157.738516      -0.052807
159.646643      -0.057487
161.554770      -0.063503
163.144876      -0.065508
165.053004      -0.059492
180.000000       0.015374

0
-180.000000     0.000000
-163.462898     0.081551
-161.872792     0.084893
-160.600707     0.082219
-158.374558     0.076203
-156.784452     0.072193
-154.876325     0.075535
-147.561837     0.106283
-138.339223     0.139706
-127.526502     0.162433
-109.717314     0.172460
-91.1360	0.1735
-71.7470	0.1652
-53.8690	0.1508
-41.3740	0.1356
-33.5120	0.1202
-30.8940	0.1132
-27.9980	0.1245
-26.1110	0.1303
-22.9790	0.1325
-19.8560	0.1281
-17.1180	0.1174
-12.1650	0.0823
-0.8994	0.0004
10.3650	-0.0823
15.3180	-0.1174
18.0560	-0.1281
21.1790	-0.1325
24.3110	-0.1303
26.1980	-0.1245
29.0940	-0.1132
31.7120	-0.1202
39.5740	-0.1356
52.0690	-0.1508
69.9470	-0.1652
89.3360	-0.1735
109.717314      -0.172460
127.526502      -0.162433
138.339223      -0.139706
147.561837      -0.106283
154.876325      -0.075535
156.784452      -0.072193
158.374558      -0.076203
160.600707      -0.082219
161.872792      -0.084893
163.462898      -0.081551
180.000000      0.000000

20
-180.000000     -0.015374
-165.053004      0.059492
-163.144876      0.065508
-161.554770      0.063503
-159.646643      0.057487
-157.738516      0.052807
-155.830389      0.056150
-150.424028      0.080214
-139.611307      0.121658
-128.480565      0.145053
-113.533569      0.154412
-100.494700      0.155080
-91.0410	0.1534
-71.2990	0.1305
-56.0660	0.1051
-45.4610	0.0827
-40.3470	0.0710
-36.0970	0.0669
-32.2020	0.0764
-30.0550	0.0887
-26.5580	0.0840
-23.3330	0.0646
-16.6480	0.0155
-8.6001	-0.0423
-0.8008	-0.0990
4.9086	-0.1308
6.9036	-0.1360
8.6593	-0.1338
11.6540	-0.1400
14.7660	-0.1514
20.8690	-0.1716
23.7400	-0.1767
25.9980	-0.1731
28.3760	-0.1735
32.8780	-0.1761
39.7560	-0.1809
51.8880	-0.1869
69.5290	-0.1930
89.4270	-0.1958
104.946996      -0.194519
124.028269      -0.187834
137.703180      -0.162433
146.607774      -0.129011
153.604240      -0.100267
155.512367      -0.092914
157.420495      -0.096257
159.964664      -0.103610
161.554770      -0.105615
163.144876      -0.100936
180.000000      -0.015374
